antecedents,consequents,support,confidence
frozenset({'공기정화식물'}),"frozenset({'인테리어식물', '특가세일'})",0.00144587,0.014897579
"frozenset({'인테리어식물', '야생화'})",frozenset({'공중식물'}),0.00144587,0.140350877
"frozenset({'공중식물', '인테리어식물'})",frozenset({'야생화'}),0.00144587,0.216216216
"frozenset({'공중식물', '야생화'})",frozenset({'인테리어식물'}),0.00144587,0.296296296
frozenset({'인테리어식물'}),"frozenset({'공중식물', '야생화'})",0.00144587,0.016563147
frozenset({'야생화'}),"frozenset({'공중식물', '인테리어식물'})",0.00144587,0.017977528
frozenset({'공중식물'}),"frozenset({'인테리어식물', '야생화'})",0.00144587,0.041450777
frozenset({'선인장'}),frozenset({'관엽식물'}),0.001265136,0.092105263
frozenset({'관엽식물'}),frozenset({'선인장'}),0.001265136,0.015981735
frozenset({'공기정화식물'}),frozenset({'서양란'}),0.001265136,0.013035382
frozenset({'서양란'}),frozenset({'공기정화식물'}),0.001265136,0.05982906
frozenset({'공기정화식물'}),frozenset({'묘목/조경/관목'}),0.001265136,0.013035382
frozenset({'묘목/조경/관목'}),frozenset({'공기정화식물'}),0.001265136,0.05982906
frozenset({'공중식물'}),frozenset({'흙/마사/스톤'}),0.001265136,0.03626943
frozenset({'흙/마사/스톤'}),frozenset({'공중식물'}),0.001265136,0.015837104
frozenset({'기타원예'}),frozenset({'야생화'}),0.001265136,0.042682927
frozenset({'야생화'}),frozenset({'기타원예'}),0.001265136,0.015730337
frozenset({'영양제/살균제'}),frozenset({'화분'}),0.001265136,0.0875
frozenset({'화분'}),frozenset({'영양제/살균제'}),0.001265136,0.033175355
frozenset({'묘목/조경/관목'}),frozenset({'흙/마사/스톤'}),0.001265136,0.05982906
frozenset({'흙/마사/스톤'}),frozenset({'묘목/조경/관목'}),0.001265136,0.015837104
frozenset({'특가세일'}),frozenset({'수입식물'}),0.001265136,0.018867925
frozenset({'수입식물'}),frozenset({'특가세일'}),0.001265136,0.023026316
frozenset({'특가세일'}),frozenset({'화분'}),0.001265136,0.018867925
frozenset({'화분'}),frozenset({'특가세일'}),0.001265136,0.033175355
frozenset({'모종'}),frozenset({'기타원예'}),0.001265136,0.077777778
frozenset({'기타원예'}),frozenset({'모종'}),0.001265136,0.042682927
"frozenset({'수입식물', '공중식물'})",frozenset({'관엽식물'}),0.001265136,0.14
"frozenset({'수입식물', '관엽식물'})",frozenset({'공중식물'}),0.001265136,0.122807018
"frozenset({'공중식물', '관엽식물'})",frozenset({'수입식물'}),0.001265136,0.24137931
frozenset({'수입식물'}),"frozenset({'공중식물', '관엽식물'})",0.001265136,0.023026316
frozenset({'공중식물'}),"frozenset({'수입식물', '관엽식물'})",0.001265136,0.03626943
frozenset({'관엽식물'}),"frozenset({'수입식물', '공중식물'})",0.001265136,0.015981735
"frozenset({'수입식물', '인테리어식물'})",frozenset({'공중식물'}),0.001265136,0.194444444
"frozenset({'공중식물', '인테리어식물'})",frozenset({'수입식물'}),0.001265136,0.189189189
"frozenset({'수입식물', '공중식물'})",frozenset({'인테리어식물'}),0.001265136,0.14
frozenset({'인테리어식물'}),"frozenset({'수입식물', '공중식물'})",0.001265136,0.014492754
